Profissional,Profissional,Profissional,Profissional,Profissional,Profissional,Função,Serviço,Tempo Minutos ,Valor Normal a partir de:,Valor Promocional a partir de:,Valor Promocional para Pagamento à vista em Dinheiro a partir de:,Valor Promocional para Pagamento em Pix Débito ou Cartão 1 X a partir de:,Valor Promocional para Pagamento em Cartão 2 X a partir de:,Valor Promocional para Pagamento em Cartão 3 X a partir de: ,Valor Promocional para Pagamento em Cartão 4 X a partir de:,Valor Promocional para Pagamento em Cartão 5 X a partir de:,Oferta válida:,Oferta válida até:
Maikel,Tatiane,Daniela,Emy,Cintia,,Cabeleireiro(a),Mechas retoque de raíz e comprimento,60,1.259,899,899,944,1.057,1.076,1.095,1.114,Sim,20/12/2025
Maikel,Tatiane,Daniela,Emy,Cintia,,Cabeleireiro(a),Mechas reverse balayage,60,979,699,699,734,822,837,851,866,Sim,20/12/2025
Maikel,Tatiane,Daniela,Emy,Cintia,,Cabeleireiro(a),Mechas slice,60,979,699,699,734,822,837,851,866,Sim,20/12/2025
Maikel,Tatiane,Daniela,Emy,Cintia,,Cabeleireiro(a),Mechas slice and weave,60,1.119,799,799,839,940,956,973,990,Sim,20/12/2025
Maikel,Tatiane,Daniela,Emy,Cintia,,Cabeleireiro(a),Mechas tradicionais,60,1.119,799,799,839,940,956,973,990,Sim,20/12/2025
Maikel,Tatiane,Daniela,Emy,Cintia,,Cabeleireiro(a),Mechas ultra babylights,60,1.119,799,799,839,940,956,973,990,Sim,20/12/2025
Maikel,Tatiane,Daniela,Emy,Cintia,,Cabeleireiro(a),Mechas vanilla blond,60,1.119,799,799,839,940,956,973,990,Sim,20/12/2025
Maikel,Tatiane,Daniela,Emy,Cintia,,Cabeleireiro(a),Mechas weaving (tricotagem),60,979,699,699,734,822,837,851,866,Sim,20/12/2025
Maikel,Tatiane,Daniela,Emy,Cintia,,Cabeleireiro(a),Retoque de raiz coloração ou tonalizante ,60,279,199,199,209,234,238,242,247,Sim,20/12/2025
Maikel,Tatiane,Daniela,Emy,Cintia,,Cabeleireiro(a),Secar cabelo ,30,111,79,79,83,93,95,96,98,Sim,20/12/2025
