Profissionais,Funcao,Servico,Duracao_Minutos,Preco_Avista,Preco_2x,Preco_3x,Preco_4x,Preco_5x,Requer_Avaliacao
"Maikel, Tatiane, Daniela, Emy, Cintia",Cabeleireiro(a),Lavar mega hair,30,99,116,119,121,123,Nao
"Maikel, Tatiane, Daniela, Emy, Cintia",Cabeleireiro(a),Mechas babylights,60,799,940,956,973,990,Sim
"Maikel, Tatiane, Daniela, Emy, Cintia",Cabeleireiro(a),Mechas californianas,60,899,1057,1076,1095,1114,Sim
"Maikel, Tatiane, Daniela, Emy, Cintia",Cabeleireiro(a),Mechas free hands,60,999,1175,1196,1217,1238,Sim
"Maikel, Tatiane, Daniela, Emy, Cintia",Cabeleireiro(a),Mechas highlights,60,799,940,956,973,990,Sim
"Maikel, Tatiane, Daniela, Emy, Cintia",Cabeleireiro(a),Mechas ice blond,60,899,1057,1076,1095,1114,Sim
"Maikel, Tatiane, Daniela, Emy, Cintia",Cabeleireiro(a),Mechas iluminação,60,699,822,837,851,866,Sim
"Maikel, Tatiane, Daniela, Emy, Cintia",Cabeleireiro(a),Mechas low lights,60,799,940,956,973,990,Sim
"Maikel, Tatiane, Daniela, Emy, Cintia",Cabeleireiro(a),Mechas luzes,60,699,822,837,851,866,Sim
"Maikel, Tatiane, Daniela, Emy, Cintia",Cabeleireiro(a),Mechas micro lights,60,699,822,837,851,866,Sim
"Maikel, Tatiane, Daniela, Emy, Cintia",Cabeleireiro(a),Mechas morena iluminada,60,799,940,956,973,990,Sim
"Maikel, Tatiane, Daniela, Emy, Cintia",Cabeleireiro(a),Mechas nude blond,60,799,940,956,973,990,Sim
"Maikel, Tatiane, Daniela, Emy, Cintia",Cabeleireiro(a),Mechas ombré hair,60,799,940,956,973,990,Sim
"Maikel, Tatiane, Daniela, Emy, Cintia",Cabeleireiro(a),Mechas retoque de raíz,60,699,822,837,851,866,Sim
"Maikel, Tatiane, Daniela, Emy, Cintia",Cabeleireiro(a),Mechas retoque de raiz comprimento e pontas,60,999,1175,1196,1217,1238,Sim
"Maikel, Tatiane, Daniela, Emy, Cintia",Cabeleireiro(a),Mechas retoque de raíz e comprimento,60,899,1057,1076,1095,1114,Sim
"Maikel, Tatiane, Daniela, Emy, Cintia",Cabeleireiro(a),Mechas reverse balayage,60,699,822,837,851,866,Sim
"Maikel, Tatiane, Daniela, Emy, Cintia",Cabeleireiro(a),Mechas slice,60,699,822,837,851,866,Sim
"Maikel, Tatiane, Daniela, Emy, Cintia",Cabeleireiro(a),Mechas slice and weave,60,799,940,956,973,990,Sim
"Maikel, Tatiane, Daniela, Emy, Cintia",Cabeleireiro(a),Mechas tradicionais,60,799,940,956,973,990,Sim
"Maikel, Tatiane, Daniela, Emy, Cintia",Cabeleireiro(a),Mechas ultra babylights,60,799,940,956,973,990,Sim
"Maikel, Tatiane, Daniela, Emy, Cintia",Cabeleireiro(a),Mechas vanilla blond,60,799,940,956,973,990,Sim
"Maikel, Tatiane, Daniela, Emy, Cintia",Cabeleireiro(a),Mechas weaving (tricotagem),60,699,822,837,851,866,Sim
"Maikel, Tatiane, Daniela, Emy, Cintia",Cabeleireiro(a),Retoque de raiz coloração ou tonalizante,60,199,234,238,242,247,Nao
"Maikel, Tatiane, Daniela, Emy, Cintia",Cabeleireiro(a),Secar cabelo,30,79,93,95,96,98,Nao
